k,l,u,v,rho,cluster,frame
159,49,3694.69,996.398,-3.55433,17,15
159,50,3705.64,1016.01,-4.48761,17,15
160,49,3717.04,996.588,-4.18089,17,15
160,50,3727.47,1015.47,-3.55433,17,15
161,50,3749.73,1015.7,-4.18089,17,15
161,51,3738.02,1034.92,-4.48761,17,15
162,51,3760.18,1034.56,-3.55433,17,15
161,49,3737.89,996.907,-4.48761,17,15
162,49,3760.15,996.444,-3.55433,17,15
158,49,3673.29,996.795,-4.48761,17,15
157,48,3661.81,978.266,-3.55433,17,15
158,48,3684.4,978.632,-4.18089,17,15
157,47,3651.22,959.399,-4.18089,17,15
156,47,3628.65,958.776,-3.55433,17,15
156,48,3640.74,979.035,-4.48761,17,15
157,49,3651.95,996.5,-4.18089,17,15
156,49,3629.73,996.305,-3.55433,17,15
157,51,3651.93,1034.84,-4.18089,17,15
157,53,3652.04,1072.89,-4.18089,17,15
156,53,3629.86,1073.32,-3.55433,17,15
156,54,3639.92,1090.47,-4.48761,17,15
156,55,3629.2,1110.39,-3.55433,17,15
157,55,3651.12,1109.47,-4.18089,17,15
157,54,3662.04,1090.66,-3.55433,17,15
158,54,3684.27,1090.4,-4.18089,17,15
159,53,3694.71,1072.59,-3.55433,17,15
160,53,3717.07,1072.71,-4.18089,17,15
160,54,3727.51,1090.74,-3.55433,17,15
161,54,3749.77,1090.51,-4.18089,17,15
162,55,3760.4,1109.78,-3.55433,17,15
163,55,3783.01,1109.91,-4.18089,17,15
162,54,3770.31,1090.66,-4.48761,17,15
163,54,3792.7,1091.39,-3.55433,17,15
161,55,3739,1108.46,-4.48761,17,15
156,30,3642.03,611.46,-4.48509,8,15
157,31,3652.98,629.594,-4.17837,8,15
157,30,3662.91,609.978,-3.55181,8,15
158,30,3685.19,610.022,-4.17837,8,15
158,29,3674.02,591.212,-4.48509,8,15
157,28,3662.91,571.814,-3.55181,8,15
158,27,3673.72,555.19,-4.48509,8,15
158,26,3685.28,534.991,-4.17837,8,15
157,26,3662.78,534.877,-3.55181,8,15
159,25,3695.73,515.797,-3.55181,8,15
159,27,3695.44,553.67,-3.55181,8,15
160,27,3717.47,553.779,-4.17837,8,15
160,26,3728.28,534.777,-3.55181,8,15
161,27,3738.44,555.286,-4.48509,8,15
161,26,3750.64,535.133,-4.17837,8,15
162,25,3761.52,515.874,-3.55181,8,15
163,25,3784.7,516.024,-4.17837,8,15
164,25,3808.01,516.316,-4.48509,8,15
163,26,3794.28,534.629,-3.55181,8,15
162,26,3771.85,535.47,-4.48509,8,15
163,27,3783.32,554.037,-4.17837,8,15
162,27,3761.02,553.874,-3.55181,8,15
161,28,3750.38,571.867,-4.17837,8,15
161,29,3738.64,590.968,-4.48509,8,15
161,30,3750.49,610.009,-4.17837,8,15
161,31,3738.59,629.248,-4.48509,8,15
162,31,3760.82,628.876,-3.55181,8,15
163,31,3782.67,628.88,-4.17837,8,15
162,32,3770.68,647.721,-4.48509,8,15
163,32,3793.2,648.112,-3.55181,8,15
163,33,3783.07,665.798,-4.17837,8,15
163,34,3793.99,685.487,-3.55181,8,15
162,33,3760.85,665.868,-3.55181,8,15
161,32,3750.47,647.938,-4.17837,8,15
160,32,3728.02,647.978,-3.55181,8,15
160,31,3717.81,628.972,-4.17837,8,15
159,31,3695.43,629.082,-3.55181,8,15
159,30,3706.25,610.275,-4.48509,8,15
160,29,3717.94,591.006,-4.17837,8,15
159,28,3706.04,571.845,-4.48509,8,15
160,28,3728.19,571.776,-3.55181,8,15
159,29,3695.53,590.857,-3.55181,8,15
160,30,3728.19,609.962,-3.55181,8,15
160,33,3717.37,665.471,-4.17837,8,15
159,33,3695.25,665.946,-3.55181,8,15
163,30,3793.39,609.83,-3.55181,8,15
164,29,3804.42,590.793,-4.48509,8,15
163,28,3793.55,571.638,-3.55181,8,15
162,28,3770.7,571.91,-4.48509,8,15
163,29,3782.86,590.9,-4.17837,8,15
162,29,3760.94,590.828,-3.55181,8,15
164,27,3804.26,553.994,-4.48509,8,15
164,26,3815.94,534.207,-4.17837,8,15
154,112,3593.82,2269.94,-3.55691,44,15
155,113,3605.2,2289.83,-4.49018,44,15
155,112,3616.19,2270.33,-4.18346,44,15
156,113,3626.44,2289.19,-3.55691,44,15
156,114,3637.35,2309.09,-4.49018,44,15
157,113,3648.64,2289.32,-4.18346,44,15
157,112,3659.06,2270.18,-3.55691,44,15
158,113,3669.7,2290.01,-4.49018,44,15
158,112,3681.25,2270.52,-4.18346,44,15
159,113,3691.84,2289.23,-3.55691,44,15
159,114,3702.04,2309.11,-4.49018,44,15
160,113,3714.06,2289.56,-4.18346,44,15
160,112,3724.65,2270.16,-3.55691,44,15
159,112,3702,2271.1,-4.49018,44,15
160,111,3714.65,2252.73,-4.18346,44,15
159,111,3691.93,2252.43,-3.55691,44,15
161,111,3736.19,2253.25,-4.49018,44,15
161,112,3746.65,2270.1,-4.18346,44,15
161,113,3734.09,2289.46,-4.49018,44,15
162,113,3757.02,2288.98,-3.55691,44,15
160,114,3724.56,2308.17,-3.55691,44,15
160,115,3713.91,2327.44,-4.18346,44,15
159,116,3702.13,2346.4,-4.49018,44,15
160,116,3724.46,2346.26,-3.55691,44,15
161,116,3746.06,2346.75,-4.18346,44,15
161,117,3733.45,2365.88,-4.49018,44,15
161,118,3746.07,2384.43,-4.18346,44,15
161,119,3734.91,2403.32,-4.49018,44,15
160,118,3724.49,2383.62,-3.55691,44,15
160,117,3713.93,2364.38,-4.18346,44,15
159,117,3691.84,2364.47,-3.55691,44,15
158,117,3669.83,2364.2,-4.49018,44,15
158,118,3681.54,2383.35,-4.18346,44,15
157,118,3658.99,2383.55,-3.55691,44,15
157,117,3648.58,2364.4,-4.18346,44,15
156,117,3626.37,2364.57,-3.55691,44,15
156,116,3637.37,2347.2,-4.49018,44,15
156,115,3626.33,2327.35,-3.55691,44,15
157,115,3648.62,2327.7,-4.18346,44,15
157,114,3659.08,2308.27,-3.55691,44,15
158,114,3681.25,2308.36,-4.18346,44,15
158,115,3669.71,2327.38,-4.49018,44,15
158,116,3681.48,2346.74,-4.18346,44,15
157,116,3659.03,2346.45,-3.55691,44,15
159,115,3691.88,2327.34,-3.55691,44,15
155,116,3616.16,2346.86,-4.18346,44,15
154,116,3593.95,2346.54,-3.55691,44,15
154,117,3583.84,2365.18,-4.18346,44,15
154,118,3593.86,2383.95,-3.55691,44,15
154,119,3583.32,2403.68,-4.18346,44,15
155,114,3616.18,2308.36,-4.18346,44,15
154,114,3593.93,2308.2,-3.55691,44,15
159,119,3691.93,2402.5,-3.55691,44,15
160,119,3714.56,2402.28,-4.18346,44,15
160,120,3725.33,2421.81,-3.55691,44,15
156,112,3637.23,2270.82,-4.49018,44,15
156,111,3626.1,2252.28,-3.55691,44,15
154,96,3595,1940.46,-3.5564,35,15
155,96,3617.51,1940.15,-4.18296,35,15
155,97,3605.96,1959.38,-4.48967,35,15
154,98,3594.5,1978.86,-3.5564,35,15
156,97,3627.38,1958.94,-3.5564,35,15
156,96,3638.66,1939.52,-4.48967,35,15
157,97,3649.6,1958.68,-4.18296,35,15
157,96,3660.03,1939.97,-3.5564,35,15
158,96,3682.37,1939.89,-4.18296,35,15
159,97,3692.85,1959.08,-3.5564,35,15
160,97,3715.15,1958.89,-4.18296,35,15
159,96,3703.46,1939.59,-4.48967,35,15
160,96,3725.61,1940.1,-3.5564,35,15
161,96,3747.48,1940.1,-4.18296,35,15
162,97,3757.98,1959.57,-3.5564,35,15
161,97,3736.03,1958.85,-4.48967,35,15
161,98,3748.22,1978.09,-4.18296,35,15
160,98,3725.87,1978.09,-3.5564,35,15
161,95,3735.48,1922.68,-4.48967,35,15
161,94,3747.43,1903.09,-4.18296,35,15
161,93,3735.5,1884.54,-4.48967,35,15
161,92,3747.08,1863.76,-4.18296,35,15
162,93,3758.1,1883.8,-3.5564,35,15
160,92,3725.57,1864.75,-3.5564,35,15
159,92,3703.41,1865.24,-4.48967,35,15
160,91,3715.12,1846.01,-4.18296,35,15
159,91,3692.75,1845.64,-3.5564,35,15
158,91,3670.78,1846.36,-4.48967,35,15
158,92,3682.49,1864.94,-4.18296,35,15
157,92,3660,1864.65,-3.5564,35,15
158,93,3670.79,1884.09,-4.48967,35,15
158,94,3682.44,1903.19,-4.18296,35,15
158,95,3670.94,1922.73,-4.48967,35,15
157,94,3660.03,1902.88,-3.5564,35,15
157,95,3649.7,1922.18,-4.18296,35,15
156,95,3627.49,1922.01,-3.5564,35,15
156,94,3638.56,1903.86,-4.48967,35,15
156,93,3627.53,1883.73,-3.5564,35,15
157,93,3649.81,1884.01,-4.18296,35,15
156,92,3638.66,1865.09,-4.48967,35,15
156,91,3627.42,1845.58,-3.5564,35,15
157,91,3649.76,1845.81,-4.18296,35,15
157,90,3659.93,1827.67,-3.5564,35,15
156,90,3637.44,1829.17,-4.48967,35,15
155,90,3616.43,1827.67,-4.18296,35,15
155,89,3604.31,1809.18,-4.48967,35,15
155,91,3606.47,1845.57,-4.48967,35,15
155,92,3617.38,1864.77,-4.18296,35,15
159,95,3692.85,1922.03,-3.5564,35,15
160,95,3715.1,1922.24,-4.18296,35,15
159,94,3703.46,1903.02,-4.48967,35,15
160,93,3715.14,1884.05,-4.18296,35,15
159,93,3692.85,1883.85,-3.5564,35,15
160,94,3725.6,1902.93,-3.5564,35,15
160,90,3725.71,1827.68,-3.5564,35,15
161,90,3748.5,1828.2,-4.18296,35,15
161,91,3735.8,1845.87,-4.48967,35,15
162,91,3758.21,1845.43,-3.5564,35,15
162,95,3758.08,1921.97,-3.5564,35,15
138,46,3219.8,940.082,-4.49052,16,15
139,47,3230.67,958.574,-4.1838,16,15
140,47,3253.28,959.992,-4.49052,16,15
141,47,3274.82,958.384,-3.55724,16,15
140,48,3263.27,977.493,-4.1838,16,15
141,48,3285.7,977.793,-4.49052,16,15
142,48,3307.5,977.395,-3.55724,16,15
142,47,3295.95,958.646,-4.1838,16,15
143,47,3318.52,959.808,-4.49052,16,15
143,46,3329.23,939.786,-4.1838,16,15
144,46,3352.41,940.195,-4.49052,16,15
144,47,3340.46,958.364,-3.55724,16,15
143,48,3328.54,977.66,-4.1838,16,15
144,48,3350.24,978.204,-4.49052,16,15
145,47,3361.32,958.051,-4.1838,16,15
145,46,3373.75,938.705,-3.55724,16,15
145,48,3372.99,977.137,-3.55724,16,15
145,49,3360.32,995.334,-4.1838,16,15
144,49,3340.16,995.494,-3.55724,16,15
143,50,3328.35,1014.63,-4.1838,16,15
144,51,3340.1,1033.56,-3.55724,16,15
144,52,3349.25,1054.24,-4.49052,16,15
145,52,3372.17,1053.51,-3.55724,16,15
143,52,3328.24,1052.58,-4.1838,16,15
144,53,3340.04,1071.72,-3.55724,16,15
143,53,3318.13,1071.76,-4.49052,16,15
142,53,3295.89,1071.59,-4.1838,16,15
142,52,3307.43,1052.61,-3.55724,16,15
142,51,3295.96,1033.71,-4.1838,16,15
142,50,3307.5,1014.59,-3.55724,16,15
142,49,3295.87,995.58,-4.1838,16,15
143,49,3318.12,995.759,-4.49052,16,15
141,50,3285.76,1014.88,-4.49052,16,15
140,50,3263.28,1014.7,-4.1838,16,15
141,49,3274.76,995.519,-3.55724,16,15
140,49,3252.95,995.782,-4.49052,16,15
139,49,3230.77,995.525,-4.1838,16,15
139,50,3242.06,1014.67,-3.55724,16,15
140,51,3252.89,1034.1,-4.49052,16,15
139,51,3230.77,1033.78,-4.1838,16,15
139,52,3241.98,1052.77,-3.55724,16,15
140,52,3263.06,1052.63,-4.1838,16,15
141,52,3285.69,1052.98,-4.49052,16,15
141,51,3274.68,1033.7,-3.55724,16,15
141,53,3274.57,1071.78,-3.55724,16,15
138,49,3209.59,995.477,-3.55724,16,15
138,48,3220.55,978.779,-4.49052,16,15
138,47,3209.33,958.098,-3.55724,16,15
143,51,3318.03,1033.9,-4.49052,16,15
142,54,3307.57,1089.59,-3.55724,16,15
143,54,3329.08,1089.3,-4.1838,16,15
144,54,3349.87,1090.49,-4.49052,16,15
145,54,3373.4,1090.56,-3.55724,16,15
138,24,3220.14,495.979,-4.49009,7,15
139,24,3242.28,495.554,-3.55682,7,15
140,25,3253.62,516.39,-4.49009,7,15
139,25,3231.15,515.079,-4.18337,7,15
139,26,3242.85,533.745,-3.55682,7,15
140,27,3254.28,554.633,-4.49009,7,15
140,26,3264.3,534.255,-4.18337,7,15
141,25,3275.53,514.858,-3.55682,7,15
141,26,3286.22,534.491,-4.49009,7,15
142,26,3308.33,533.883,-3.55682,7,15
143,27,3319.53,553.54,-4.49009,7,15
142,27,3296.92,553.055,-4.18337,7,15
142,28,3308.45,571.057,-3.55682,7,15
142,29,3296.98,590.151,-4.18337,7,15
143,29,3319.28,590.434,-4.49009,7,15
144,29,3341.16,590.112,-3.55682,7,15
143,30,3329.46,609.111,-4.18337,7,15
144,31,3341.07,628.093,-3.55682,7,15
144,32,3351.64,648.015,-4.49009,7,15
143,32,3329.52,647.214,-4.18337,7,15
144,33,3341.3,665.219,-3.55682,7,15
145,33,3362.86,665.59,-4.18337,7,15
145,32,3373.51,647.326,-3.55682,7,15
145,31,3361.5,628.573,-4.18337,7,15
145,30,3373.56,609.282,-3.55682,7,15
145,29,3361.61,590.26,-4.18337,7,15
145,28,3373.67,571.077,-3.55682,7,15
144,28,3350.85,571.354,-4.49009,7,15
145,27,3362.02,553.118,-4.18337,7,15
145,26,3374,533.864,-3.55682,7,15
144,26,3351.56,535.214,-4.49009,7,15
145,25,3362.56,515.016,-4.18337,7,15
143,26,3329.45,534.143,-4.18337,7,15
144,27,3341.14,552.986,-3.55682,7,15
143,28,3329.51,571.142,-4.18337,7,15
144,30,3351.36,609.608,-4.49009,7,15
143,31,3319.29,628.504,-4.49009,7,15
142,31,3296.93,628.137,-4.18337,7,15
142,32,3308.21,647.232,-3.55682,7,15
142,30,3308.3,609.155,-3.55682,7,15
141,30,3286.89,609.617,-4.49009,7,15
140,30,3264.27,609.282,-4.18337,7,15
141,29,3275.54,590.084,-3.55682,7,15
140,28,3264.32,571.245,-4.18337,7,15
141,28,3286.93,571.461,-4.49009,7,15
141,27,3275.65,552.953,-3.55682,7,15
140,29,3254.58,590.713,-4.49009,7,15
139,28,3243.11,570.939,-3.55682,7,15
139,29,3231.91,590.345,-4.18337,7,15
139,30,3243.1,609.202,-3.55682,7,15
140,31,3254.01,628.567,-4.49009,7,15
139,31,3232,628.246,-4.18337,7,15
138,32,3221.9,648.531,-4.49009,7,15
138,31,3210.78,628.875,-3.55682,7,15
139,32,3242.92,647.357,-3.55682,7,15
140,32,3264.18,647.075,-4.18337,7,15
141,31,3275.51,628.165,-3.55682,7,15
141,33,3275.59,665.032,-3.55682,7,15
139,27,3231.81,553.427,-4.18337,7,15
138,26,3221.72,534.094,-4.49009,7,15
140,24,3263.84,496.548,-4.18337,7,15
137,67,3183.73,1364.32,-4.48973,25,15
138,67,3207.36,1363.83,-3.55645,25,15
138,68,3219.09,1384.45,-4.48973,25,15
137,68,3196.47,1383.32,-4.18301,25,15
138,69,3208.27,1402.06,-3.55645,25,15
138,70,3220.37,1420.9,-4.48973,25,15
137,70,3197.52,1420.49,-4.18301,25,15
138,71,3208.61,1439.19,-3.55645,25,15
138,72,3220.29,1459.17,-4.48973,25,15
137,72,3197.55,1458.74,-4.18301,25,15
138,73,3208.72,1477.66,-3.55645,25,15
138,74,3219.89,1497.11,-4.48973,25,15
137,74,3197.7,1496.86,-4.18301,25,15
137,75,3187.18,1515.82,-4.48973,25,15
138,75,3208.52,1514.76,-3.55645,25,15
139,75,3229.69,1513.95,-4.18301,25,15
139,76,3241.03,1533.37,-3.55645,25,15
140,75,3252.02,1513.29,-4.48973,25,15
141,75,3274.01,1514.61,-3.55645,25,15
140,74,3262.42,1496.74,-4.18301,25,15
141,74,3285.07,1497.04,-4.48973,25,15
141,73,3273.98,1477.51,-3.55645,25,15
140,72,3262.48,1458.71,-4.18301,25,15
141,72,3285.03,1459.11,-4.48973,25,15
141,71,3273.95,1439.37,-3.55645,25,15
140,70,3262.5,1420.44,-4.18301,25,15
141,70,3285.11,1420.76,-4.48973,25,15
142,70,3306.79,1420.38,-3.55645,25,15
142,71,3295.12,1439.59,-4.18301,25,15
142,72,3306.79,1458.46,-3.55645,25,15
142,73,3295.15,1477.68,-4.18301,25,15
142,74,3306.81,1496.46,-3.55645,25,15
142,75,3295.19,1514.23,-4.18301,25,15
143,75,3317.85,1514,-4.48973,25,15
143,76,3328.31,1533.75,-4.18301,25,15
144,75,3339.53,1514.79,-3.55645,25,15
143,74,3327.3,1496.83,-4.18301,25,15
144,73,3339.35,1477.2,-3.55645,25,15
143,73,3317.15,1478.01,-4.48973,25,15
143,72,3327.45,1458.7,-4.18301,25,15
144,71,3339.45,1439.44,-3.55645,25,15
143,70,3327.56,1420.42,-4.18301,25,15
143,71,3317.08,1440.04,-4.48973,25,15
144,69,3339.6,1402.26,-3.55645,25,15
143,69,3317.33,1402.9,-4.48973,25,15
142,68,3306.67,1383.21,-3.55645,25,15
142,69,3295.09,1402.47,-4.18301,25,15
141,69,3273.87,1402.21,-3.55645,25,15
140,68,3262.32,1383.62,-4.18301,25,15
140,69,3252.15,1403.03,-4.48973,25,15
139,68,3241.02,1383.12,-3.55645,25,15
139,69,3229.99,1402.58,-4.18301,25,15
139,70,3241.17,1420.19,-3.55645,25,15
140,71,3252.56,1440.09,-4.48973,25,15
139,71,3229.87,1439.59,-4.18301,25,15
139,72,3241.17,1458.46,-3.55645,25,15
140,73,3252.48,1478.1,-4.48973,25,15
139,73,3229.86,1477.46,-4.18301,25,15
139,74,3241.16,1496.54,-3.55645,25,15
139,67,3229.13,1364.89,-4.18301,25,15
143,68,3328.29,1383.49,-4.18301,25,15
144,68,3350.51,1383.52,-4.48973,25,15
142,76,3307,1533.45,-3.55645,25,15
136,90,3174.85,1826.29,-3.55675,34,15
137,91,3186.72,1844.9,-4.49002,34,15
136,92,3175.13,1863.76,-3.55675,34,15
137,92,3196.28,1864.11,-4.1833,34,15
138,92,3218.92,1864.45,-4.49002,34,15
138,91,3207.51,1844.77,-3.55675,34,15
139,91,3228.82,1844.81,-4.1833,34,15
139,92,3240.25,1863.91,-3.55675,34,15
140,93,3251.32,1883.58,-4.49002,34,15
139,93,3228.78,1883.23,-4.1833,34,15
139,94,3240.16,1902.1,-3.55675,34,15
140,95,3251.33,1921.65,-4.49002,34,15
139,95,3228.73,1921.26,-4.1833,34,15
139,96,3240.07,1939.22,-3.55675,34,15
138,95,3207.52,1921.38,-3.55675,34,15
140,94,3261.49,1902.21,-4.1833,34,15
141,93,3273.05,1882.95,-3.55675,34,15
141,94,3283.79,1902.52,-4.49002,34,15
142,93,3294.04,1883.06,-4.1833,34,15
142,92,3305.81,1863.81,-3.55675,34,15
142,91,3293.98,1844.98,-4.1833,34,15
142,90,3306.05,1826.71,-3.55675,34,15
141,90,3283.97,1828.51,-4.49002,34,15
142,89,3294.59,1808.18,-4.1833,34,15
143,89,3317.93,1808.85,-4.49002,34,15
144,89,3339.42,1807.3,-3.55675,34,15
143,90,3326.92,1826.68,-4.1833,34,15
143,91,3315.55,1845.17,-4.49002,34,15
144,91,3338.3,1844.69,-3.55675,34,15
140,90,3261.41,1827.19,-4.1833,34,15
139,90,3240.24,1826.68,-3.55675,34,15
138,90,3218.33,1827.49,-4.49002,34,15
138,89,3207.17,1807.69,-3.55675,34,15
137,90,3195.95,1827.1,-4.1833,34,15
137,89,3184.96,1808.53,-4.49002,34,15
139,89,3228.75,1808.44,-4.1833,34,15
140,91,3250.81,1844.92,-4.49002,34,15
141,91,3273.12,1844.81,-3.55675,34,15
140,92,3261.44,1863.98,-4.1833,34,15
141,92,3283.86,1864.06,-4.49002,34,15
143,93,3315.61,1883.62,-4.49002,34,15
143,94,3325.89,1902.69,-4.1833,34,15
143,95,3315.34,1922.31,-4.49002,34,15
142,94,3305.63,1901.9,-3.55675,34,15
142,95,3293.93,1921.05,-4.1833,34,15
142,96,3305.77,1939.06,-3.55675,34,15
143,97,3317.71,1957.39,-4.49002,34,15
142,97,3294.68,1957.55,-4.1833,34,15
142,98,3306.7,1977.14,-3.55675,34,15
141,97,3273.15,1958.08,-3.55675,34,15
144,97,3338.87,1959.11,-3.55675,34,15
143,96,3325.94,1940.31,-4.1833,34,15
141,95,3273.05,1921.15,-3.55675,34,15
138,93,3207.47,1883,-3.55675,34,15
61,108,1425.96,2190.57,-3.58873,39,15
62,109,1437.36,2210.72,-4.52201,39,15
62,108,1448.27,2191.05,-4.21529,39,15
62,107,1435.9,2172.54,-4.52201,39,15
63,109,1458.82,2209.84,-3.58873,39,15
64,109,1481.61,2210.18,-4.21529,39,15
63,110,1469.85,2229.54,-4.52201,39,15
64,110,1491.45,2228.97,-3.58873,39,15
65,110,1513.97,2229.22,-4.21529,39,15
66,109,1524.28,2209.91,-3.58873,39,15
67,109,1546.7,2210.21,-4.21529,39,15
66,110,1534.42,2229.55,-4.52201,39,15
67,110,1557.55,2227.81,-3.58873,39,15
67,111,1546.69,2247.26,-4.21529,39,15
66,112,1534.61,2266.6,-4.52201,39,15
67,112,1557.05,2266.23,-3.58873,39,15
67,113,1546.7,2285.41,-4.21529,39,15
66,114,1534.66,2304.78,-4.52201,39,15
67,114,1557.04,2304.31,-3.58873,39,15
68,115,1566.9,2324.13,-4.52201,39,15
68,114,1578.79,2304.52,-4.21529,39,15
68,113,1566.52,2285.67,-4.52201,39,15
69,113,1589.33,2285.13,-3.58873,39,15
68,112,1578.67,2266.35,-4.21529,39,15
68,111,1566.44,2247.04,-4.52201,39,15
69,115,1589.52,2323.66,-3.58873,39,15
68,116,1579.15,2343.09,-4.21529,39,15
67,116,1557.19,2342.69,-3.58873,39,15
66,116,1534.81,2342.33,-4.52201,39,15
67,115,1546.8,2323.5,-4.21529,39,15
66,115,1524.41,2323.56,-3.58873,39,15
65,115,1502.23,2323.6,-4.52201,39,15
65,114,1514.14,2304.52,-4.21529,39,15
64,114,1491.57,2304.36,-3.58873,39,15
63,114,1469.79,2304.58,-4.52201,39,15
64,113,1481.52,2285.37,-4.21529,39,15
63,113,1458.9,2285.28,-3.58873,39,15
62,114,1448.82,2304.69,-4.21529,39,15
61,114,1426.49,2304.98,-3.58873,39,15
62,113,1437.83,2286.2,-4.52201,39,15
61,112,1426.42,2266.47,-3.58873,39,15
62,112,1448.75,2266.4,-4.21529,39,15
63,111,1458.9,2246.96,-3.58873,39,15
63,112,1469.94,2266.54,-4.52201,39,15
64,111,1481.17,2247.2,-4.21529,39,15
64,112,1491.54,2266.2,-3.58873,39,15
65,113,1502.16,2285.68,-4.52201,39,15
66,113,1524.38,2285.36,-3.58873,39,15
65,111,1502.24,2247.46,-4.52201,39,15
66,111,1524.35,2247.08,-3.58873,39,15
62,110,1448.51,2229.21,-4.21529,39,15
61,110,1426.14,2228.9,-3.58873,39,15
63,115,1458.91,2323.42,-3.58873,39,15
64,115,1481.43,2323.4,-4.21529,39,15
63,116,1468.74,2341.92,-4.52201,39,15
64,116,1491.49,2342.49,-3.58873,39,15
65,116,1514.04,2342.35,-4.21529,39,15
62,116,1448.14,2342.73,-4.21529,39,15
61,116,1426.02,2343.32,-3.58873,39,15
67,108,1557.31,2190.89,-3.58873,39,15
68,108,1580.04,2191.17,-4.21529,39,15
69,107,1590.73,2171.23,-3.58873,39,15
65,109,1502.06,2211.47,-4.52201,39,15
65,108,1514.15,2191.46,-4.21529,39,15
64,108,1491.61,2190.88,-3.58873,39,15
63,108,1469.5,2192.28,-4.52201,39,15
46,21,1062.58,434.921,-4.23095,2,15
47,21,1084.84,436.002,-4.53767,2,15
48,21,1107.47,434.837,-3.60439,2,15
48,22,1118.72,453.313,-4.53767,2,15
47,22,1096.23,452.928,-4.23095,2,15
48,23,1107.66,471.807,-3.60439,2,15
47,24,1096.23,490.94,-4.23095,2,15
47,25,1085.95,510.758,-4.53767,2,15
